Serial;Counter;Valid uses;Volume (ml);Uses Left;Last Used;Status;Beverage Used
M-1-00000075-50-26.12.31-SECD-23FF45EE;00000075;;;;;;
M-1-00000076-50-26.12.31-SECD-23FF45EE;00000076;;;;;;
M-1-00000077-50-26.12.31-SECD-23FF45EE;00000077;;;;;;
M-1-00000078-50-26.12.31-SECD-23FF45EE;00000078;;;;;;
M-1-00000079-50-26.12.31-SECD-23FF45EE;00000079;;;;;;
M-1-00000080-50-26.12.31-SECD-23FF45EE;00000080;;;;;;
M-1-00000081-50-26.12.31-SECD-23FF45EE;00000081;;;;;;
M-1-00000082-50-26.12.31-SECD-23FF45EE;00000082;;;;;;
M-1-00000083-50-26.12.31-SECD-23FF45EE;00000083;;;;;;
M-1-00000084-50-26.12.31-SECD-23FF45EE;00000084;;;;;;
M-1-00000085-50-26.12.31-SECD-23FF45EE;00000085;;;;;;
M-1-00000086-50-26.12.31-SECD-23FF45EE;00000086;;;;;;
M-1-00000087-50-26.12.31-SECD-23FF45EE;00000087;;;;;;
M-1-00000088-50-26.12.31-SECD-23FF45EE;00000088;;;;;;
M-1-00000089-50-26.12.31-SECD-23FF45EE;00000089;;;;;;
M-1-00000090-50-26.12.31-SECD-23FF45EE;00000090;;;;;;
M-1-00000091-50-26.12.31-SECD-23FF45EE;00000091;;;;;;
M-1-00000092-50-26.12.31-SECD-23FF45EE;00000092;;;;;;
M-1-00000093-50-26.12.31-SECD-23FF45EE;00000093;;;;;;
M-1-00000094-50-26.12.31-SECD-23FF45EE;00000094;;;;;;
M-1-00000095-50-26.12.31-SECD-23FF45EE;00000095;;;;;;
M-1-00000096-50-26.12.31-SECD-23FF45EE;00000096;;;;;;
M-1-00000097-50-26.12.31-SECD-23FF45EE;00000097;;;;;;
M-1-00000098-50-26.12.31-SECD-23FF45EE;00000098;;;;;;
M-1-00000099-50-26.12.31-SECD-23FF45EE;00000099;;;;;;
M-1-00000100-50-26.12.31-SECD-23FF45EE;00000100;;;;;;
M-1-00000101-50-26.12.31-SECD-23FF45EE;00000101;;;;;;
M-1-00000102-50-26.12.31-SECD-23FF45EE;00000102;;;;;;
M-1-00000103-50-26.12.31-SECD-23FF45EE;00000103;;;;;;
M-1-00000104-50-26.12.31-SECD-23FF45EE;00000104;;;;;;
M-1-00000105-50-26.12.31-SECD-23FF45EE;00000105;;;;;;
M-1-00000106-50-26.12.31-SECD-23FF45EE;00000106;;;;;;
M-1-00000107-50-26.12.31-SECD-23FF45EE;00000107;;;;;;
M-1-00000108-50-26.12.31-SECD-23FF45EE;00000108;;;;;;
M-1-00000109-50-26.12.31-SECD-23FF45EE;00000109;;;;;;
M-1-00000110-50-26.12.31-SECD-23FF45EE;00000110;;;;;;
M-1-00000111-50-26.12.31-SECD-23FF45EE;00000111;;;;;;
M-1-00000112-50-26.12.31-SECD-23FF45EE;00000112;;;;;;
M-1-00000113-50-26.12.31-SECD-23FF45EE;00000113;;;;;;
M-1-00000114-50-26.12.31-SECD-23FF45EE;00000114;;;;;;
M-1-00000115-50-26.12.31-SECD-23FF45EE;00000115;;;;;;
M-1-00000116-50-26.12.31-SECD-23FF45EE;00000116;;;;;;
M-1-00000117-50-26.12.31-SECD-23FF45EE;00000117;;;;;;
